,id,time_int,exact_distance
198,KOUG_4_6_23,1,150
199,KOUG_4_6_23,6,150
200,COUN_4_14_23,4,150
201,COUN_4_14_23,4,200
202,COUN_4_14_23,6,196
203,COUN_4_14_23,7,164
204,TELL_5_16_23,1,240
205,TELL_5_16_23,2,250
206,TELL_4_4_24,0,145
207,TELL_4_4_24,2,120
208,TELL_4_4_24,7,200
209,KOUG_4_6_24,1,300
210,TELL_4_9_24,9,328
211,TELL_4_9_24,6,360
212,COUN_4_14_24,2,200
213,COUN_4_14_24,3,200
214,TELL_5_16_24,0,250
215,TELL_5_16_24,1,280
216,TELL_5_16_24,5,400
217,TELL_2_18_24,4,300
218,TELL_5_16_25,1,400
219,TELL_5_16_25,5,200
220,TELL_5_16_25,8,400
221,TELL_4_4_26,4,350
222,TELL_5_16_26,2,200
223,TELL_5_16_26,9,129
224,TELL_5_16_26,9,144
225,KOUG_4_6_29,0,285
226,KOUG_4_6_29,3,400
227,KOUG_4_6_29,5,250
228,KOUG_4_6_29,6,200
229,KOUG_4_6_29,7,300
230,KOUG_4_6_32,0,211
231,KOUG_4_6_32,0,211
232,KOUG_4_6_32,0,211
233,KOUG_4_6_32,2,179
234,KOUG_4_6_32,6,200
235,KOUG_4_6_32,6,200
236,KOUG_4_6_32,7,130
237,KOUG_4_6_32,7,130
238,KOUG_4_6_34,0,200
239,KOUG_4_6_34,2,130
240,KOUG_K4_T25_23,0,60
241,KOUG_K4_T25_23,2,150
242,KOUG_K4_T25_23,5,100
243,KOUG_K4_T25_20,0,250
244,KOUG_K4_T25_20,5,115
245,COUN_C4_T21_13,8,400
246,COUN_C4_T21_16,2,350
247,COUN_C4_T21_16,4,350
248,COUN_C4_T21_19,1,350
249,COUN_C4_T21_21,4,217
250,COUN_C4_T21_22,0,150
251,COUN_C4_T21_22,3,250
252,COUN_C4_T21_22,5,282
253,COUN_C4_T21_20,2,220
254,COUN_C4_T21_20,1,200
255,COUN_C4_T21_20,4,230
256,COUN_C4_T21_18,1,200
257,COUN_C4_T21_18,3,200
258,COUN_C4_T21_15,1,180
259,COUN_C4_T21_15,5,160
260,COUN_C4_T21_12,6,250
261,TELL_T5_T3_7,4,250
262,TELL_T5_T3_7,6,150
263,TELL_T5_T3_11,0,100
264,TELL_T5_T3_18,9,175
265,KOUG_K4_T28_5,0,220
266,KOUG_K4_T28_5,1,290
267,KOUG_K4_T28_5,4,350
268,KOUG_K4_T28_5,5,244
269,KOUG_K4_T28_4,3,380
270,KOUG_K4_T28_11,2,308
271,KOUG_K4_T28_11,4,240
272,KOUG_K4_T28_11,4,261
273,KOUG_K4_T17_18,0,150
274,KOUG_K4_T17_18,2,130
