,id,1,2,3,4,5,barren,decforest,egforest,fen,littoral,lowshrub,mixforest,openshrub,sparseveg,tallshrub,tundra,tussock,water,woodland,elev,observer,second_observer,date,start_time,tempf,sky,wind,hear,noise_distance_m,noise_direction,julian,min_after_sun,year
17,COUN_1_3_12,0,0,0,0,0,-0.356122038,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.243179712,-0.207377386,0.140964996,-0.480150791,1.004105294,-0.611434585,0.969742258,-0.101142573,-0.25807982,-0.357383322,DS,KW,6/12/2019,6:24:00,0.141278202,1,0.280398639,0,1000,1000,0.109257002,-0.318970641,2019
18,COUN_1_3_14,0,0,0,0,0,0.028116232,6.568712761,-0.165889998,-0.356370497,-0.172633637,-0.593376707,-0.146559484,-0.264137982,0.038148581,1.096224204,-0.785101904,0.036823125,-0.101142573,-0.25807982,-0.300300163,DS,KW,6/12/2019,7:01:00,0.256142309,1,1.144060248,1,1000,1000,0.109257002,-0.008145596,2019
19,COUN_1_3_3,0,0,0,0,0,-0.356054996,0.585661098,-0.165889998,-0.356370497,-0.172633637,-0.501128301,-0.207377386,-0.170249568,-0.512747594,1.987402009,-1.147758969,0.533961398,-0.101142573,-0.25807982,0.063848341,DS,KW,6/12/2019,9:48:00,1.06019106,1,-0.295375767,0,1000,1000,0.109257002,1.394767447,2019
20,COUN_1_3_4,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.883176773,-0.207377386,-0.326530475,-0.545784392,1.370564431,-0.592248826,0.777313619,-0.101142573,-0.25807982,-0.195247082,DS,KW,6/12/2019,4:53:00,0.371006416,2,0.568285842,0,1000,1000,0.109257002,-1.083432239,2019
21,COUN_1_3_6,0,0,0,0,0,-0.286686671,0.196236405,-0.165889998,-0.356370497,-0.172633637,-0.852817043,-0.207377386,-0.326530475,-0.513142681,1.883338376,-0.77007138,-0.108990054,-0.101142573,-0.25807982,0.616985478,DS,KW,6/12/2019,9:18:00,1.06019106,1,-0.007488564,0,1000,1000,0.109257002,1.14274714,2019
22,COUN_1_3_7,0,0,0,0,0,-0.040767243,-0.188020566,-0.165889998,0.149081182,-0.172633637,-0.332497983,1.774906118,1.613216116,0.355679215,0.847860249,-1.218512505,0.204372584,-0.101142573,-0.014361718,1.557038803,DS,KW,6/12/2019,5:25:00,0.141278202,1,0.856173045,1,1000,1000,0.109257002,-0.814610578,2019
23,COUN_1_3_8,0,0,0,0,0,-0.37938555,0.198078481,-0.165889998,-0.356370497,-0.172633637,-0.852671503,-0.207377386,-0.326530475,-0.57189776,2.619322643,-1.417611444,0.278701579,-0.101142573,-0.25807982,1.850136294,DS,KW,6/12/2019,8:41:00,0.830462846,1,1.431947451,1,1000,1000,0.109257002,0.831922095,2019
24,COUN_1_3_9,0,0,0,0,0,-0.344254731,-0.188020566,0.296286204,0.037895894,-0.172633637,-0.607040832,1.811225681,2.873897533,-0.479531477,1.411744927,-1.086550942,-0.213187213,-0.101142573,0.169660725,0.729074289,DS,KW,6/12/2019,5:55:00,0.141278202,1,-0.295375767,1,1000,1000,0.109257002,-0.562590271,2019
25,COUN_2_1_10,0,0,0,0,0,0.684621006,0.00374196,-0.165889998,-0.356370497,-0.172633637,-0.11047828,-0.207377386,-0.264553932,0.529290549,-0.438323839,-0.009437945,-0.011845752,-0.101142573,-0.25807982,0.654351619,KW,DS,6/20/2019,8:04:00,1.404783382,0,-0.871150173,0,1000,1000,0.475330485,0.571501111,2019
26,COUN_2_1_12,0,0,0,0,0,-0.136050994,-0.188020566,-0.165889998,-0.133440155,-0.172633637,0.407111741,-0.207377386,-0.326530475,0.289843396,-0.298199898,0.257742983,-0.38254057,-0.101142573,-0.25807982,0.463563191,KW,DS,6/20/2019,5:24:00,0.945326953,1,-0.58326297,0,1000,1000,0.475330485,-0.772607194,2019
27,COUN_2_1_13,0,0,0,0,0,0.494670575,-0.188020566,-0.165889998,-0.356370497,-0.172633637,2.750434181,-0.207377386,-0.326530475,0.774118569,-0.783908039,-0.612140378,0.422716543,-0.101142573,-0.25807982,0.114468323,KW,DS,6/20/2019,7:37:00,1.289919275,0,-0.58326297,0,1000,1000,0.475330485,0.344682834,2019
28,COUN_2_1_16,0,0,0,0,0,2.475168355,-0.188020566,-0.165889998,-0.018753447,-0.172633637,-0.653285178,-0.207377386,0.018281213,1.392290437,-0.161690714,-1.173711447,-0.092144823,-0.101142573,0.230295567,-0.242245951,KW,DS,6/20/2019,6:01:00,0.830462846,1,0.568285842,0,1000,1000,0.475330485,-0.461782148,2019
29,COUN_2_1_17,0,0,0,0,0,0.799940279,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.148938386,-0.207377386,-0.263958004,1.066163707,-0.711360065,0.060907094,-0.534382149,-0.101142573,-0.25807982,0.080590493,KW,DS,6/20/2019,7:09:00,1.175055168,0,-1.159037376,0,1000,1000,0.475330485,0.109463881,2019
30,COUN_2_1_19,0,0,0,0,0,1.932560134,-0.188020566,0.755796005,1.272307134,-0.172633637,0.23347744,0.006099299,0.486911644,1.033270906,-0.117587213,-1.49804956,0.259503534,-0.101142573,2.483748825,-0.071657172,KW,DS,6/20/2019,6:31:00,0.830462846,1,-0.007488564,0,1000,1000,0.475330485,-0.209761841,2019
31,COUN_2_1_2,0,0,0,0,0,-0.34438972,0.585661098,0.018270126,0.204702986,-0.172633637,-0.531692179,1.407393422,0.486130239,-0.57189776,1.991930273,-1.190723358,-0.457442433,-0.101142573,1.263695071,-0.586727264,KW,DS,6/20/2019,9:37:00,1.864239812,0,-0.295375767,2,50,210,0.475330485,1.352764063,2019
32,COUN_2_1_5,0,0,0,0,0,-0.240602086,-0.188020566,0.290564023,-0.300744068,-0.172633637,-0.792271068,0.577984459,-0.326530475,-0.57189776,0.423650447,-0.24371662,1.014745046,-0.101142573,2.457636171,-0.562413421,KW,DS,6/20/2019,4:18:00,0.371006416,1,-0.295375767,1,300,159,0.475330485,-1.327051869,2019
33,COUN_2_1_6,0,0,0,0,0,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,-0.318287675,-0.207377386,-0.326530475,-0.53250216,0.333499546,0.553938701,-0.655776057,-0.101142573,-0.25807982,-0.157555218,KW,DS,6/20/2019,8:56:00,1.749375705,0,-0.58326297,0,1000,1000,0.475330485,1.00833631,2019
34,COUN_2_1_9,0,0,0,0,1,-0.37938555,-0.188020566,-0.165889998,-0.356370497,-0.172633637,1.141820128,-0.207377386,-0.326530475,-0.189237446,-0.665653625,0.559581765,0.129613527,-0.101142573,-0.25807982,0.252693451,KW,DS,6/20/2019,4:49:00,1.06019106,1,-0.58326297,0,1000,1000,0.475330485,-1.066630885,2019
